timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
2014-09-27,1169703.671641791,34661425923.977,10192.006420895525,63138,0,192256,214707,4255.348199999999,134,399.5199890137,21460800.0,5386071486.25,403.5559997559
2014-09-28,1314369.7846153846,34661425923.977,10101.61099923077,62440,0,193937,309798,4336.8962,130,377.1809997559,15029300.0,5322075836.0,399.4710083008
2014-09-29,1290743.416058394,34661425923.977,9842.157568613138,77924,0,220842,213742,4782.3076,137,375.467010498,23613300.0,5025729375.45,376.9280090332
2014-09-30,1188602.797385621,34661425923.977,9501.277229411764,78006,0,222622,243048,4594.1431,153,386.9440002441,32497700.0,5004177242.62,376.0880126953
2014-10-01,1200937.4451612902,34661425923.977,9558.748670967743,78779,0,224209,264989,4921.0982,155,383.6149902344,34707300.0,5158621324.8,387.4270019531
2014-10-02,1195797.2173913044,34661425923.977005,9670.176894927536,72086,0,203451,213390,4336.9547,138,375.0719909668,26229400.0,5115688242.12,383.9880065918
2014-10-03,1163749.1232876712,34661425923.977,9542.717584246577,75094,0,201615,258668,4594.2259,146,359.5119934082,21777700.0,5003085408.0,375.1809997559
2014-10-04,1107291.7402597405,34661425923.977,9289.985783766237,66632,0,210708,225285,4656.2469,154,328.8659973145,30901200.0,4796851774.6,359.891998291
2014-10-05,1072752.2840236686,34661425923.977,8720.732347928993,67330,0,207559,317617,4137.4915,169,320.5100097656,47236500.0,4389218290.65,328.9159851074
2014-10-06,1120146.807453416,34661425923.977,7971.148547826087,78049,0,222634,227767,4008.6428,161,330.0790100098,83308096.0,4279040869.75,320.3890075684
2014-10-07,1349109.6119402985,34661425923.977,8167.945976865672,79069,0,223765,231672,4347.719099999999,134,336.1870117188,79011800.0,4408130777.23,330.5840148926
2014-10-08,1233000.611111111,34661425923.977,8308.590895138888,78818,0,220315,221570,4153.0788,144,352.9400024414,49199900.0,4490819564.7,336.1159973145
2014-10-09,1202238.189189189,34758212115.12937,8505.84461418919,82789,0,219779,227780,4713.0351,148,365.0260009766,54736300.0,4715887221.5,352.7479858398
2014-10-10,1141675.4322580646,35002482026.133,9108.718078064516,81058,0,215704,236560,4722.5316,155,361.5620117188,83641104.0,4878718500.4,364.6870117188
2014-10-11,995552.8611111112,35002482026.133,9105.93385486111,65020,0,176007,190603,3770.4686,144,362.2990112305,43665700.0,4833830846.6,361.3619995117
2014-10-12,1144829.945945946,35002482026.133,9055.631451351352,63509,0,195226,299252,3978.4777,148,378.5490112305,13345200.0,4844961124.67,362.6059875488
2014-10-13,1185552.4387096774,35002482026.133,9124.75324451613,77942,0,225131,243395,4766.7242,155,390.4140014648,17552800.0,5063689089.67,377.9209899902
2014-10-14,1472732.6666666667,35002482026.133,9517.857429545456,81364,0,245817,228745,5030.1681,132,400.8699951172,35221400.0,5223924766.65,391.691986084
2014-10-15,1188476.1854304636,35002482026.133,10084.41687218543,76257,0,221287,236218,5045.9143,151,394.7730102539,38491500.0,5365153884.25,400.9549865723
2014-10-16,1139779.4864864864,35002482026.133,9915.978951351351,75737,0,208965,211837,4806.8936,148,382.5559997559,25267100.0,5285043276.15,394.5180053711
2014-10-17,1161859.5211267606,35002482026.13299,9732.73379084507,70839,0,205582,207805,4541.7017,142,383.7579956055,26990000.0,5122903035.0,382.7560119629
2014-10-18,900184.1951219512,35002482026.133,9549.046344512191,66477,0,179690,202642,3943.613,164,391.441986084,13600700.0,5140342470.5,383.9760131836
2014-10-19,1248021.7443609023,35002482026.133,9697.931503759395,63255,0,189523,296099,4080.6316,133,389.5459899902,11416800.0,5244892213.8,391.2539978027
2014-10-20,1352267.503649635,35002482026.133,9810.972537956204,82700,0,230061,232021,5065.259999999999,137,382.8450012207,5914570.0,5220783139.85,389.2309875488
2014-10-21,1248764.0,35002482026.133,9640.191218300652,81651,0,235991,238486,5001.8081,153,386.4750061035,16419000.0,5132276503.12,382.4209899902
2014-10-22,1158189.6352201258,35002482026.133,9696.061335849055,79987,0,226106,237928,4899.0633,159,383.157989502,14188900.0,5182426850.62,386.1180114746
2014-10-23,1232121.3509933774,35640558234.18873,9667.405065562914,80638,0,232684,227474,4930.8562,151,358.4169921875,11641300.0,5139461096.15,382.9620056152
2014-10-24,1078781.2578616352,35985640265.076,9266.200232075473,77906,0,211479,216210,4563.3344,159,358.3450012207,26456900.0,4808952572.4,358.591003418
